AC,CB,G,Pour Density,Surface Area,Water Uptake,Electrolyte Uptake,Conductivity,Max Current,Capacity
33.33,33.33,33.33,0.519219391,49.06176,31.42857143,15.11254019,0.951415809,2.415735294,0.27
70,0,30,0.561093023,77.1954,47.76119403,30,0.09950023,1.109705882,0.01
40,0,60,0.48072093,50.5068,42.81609195,21.93877551,0.415381274,1.985882353,0.02
70,30,0,0.611862791,81.237,38.93442623,22.40802676,0.374146666,2.588088235,0.4
40,50,10,0.565337209,57.2428,32.71221532,20.24793388,1.139189384,6.110882353,0.38
60,20,20,0.568148837,70.9936,43.16939891,19.14893617,0.440565051,2.996470588,0.25
10,50,40,0.484965116,30.5542,38.00424628,18.37160752,3.088658087,4.943382353,0.13
20,20,60,0.460986047,35.4088,40.59405941,9.333333333,1.811520979,3.532205882,0.15
45,15,40,0.519501163,56.9757,40.12345679,17.43341404,0.238737022,1.931617647,0.055
20,55,25,0.520217442,40.124,22.3880597,13.84083045,1.043711592,2.625147059,0.13
10,35,55,0.459580233,28.5334,23.99049881,7.901234568,1.613304778,3.317205882,0.075
100,0,0,0.641465116,103.884,53.7037037,35.41666667,0.043541527,0.73,0
0,100,0,0.542790698,28.394,23.40909091,10.67285383,1.128502904,2.292941176,0.02
0,0,100,0.37355814,14.922,24.00990099,14.70588235,0.741020452,0.980588235,0.005
10,85,5,0.544196512,35.2694,25.26315789,10.07194245,1.64703924,4.0825,0.135
15,70,15,0.532206977,37.6967,20.34313725,9.756097561,1.661495441,4.118382353,0.15
0,70,30,0.49202093,24.3524,11.8902439,7.692307692,2.83625654,2.03,0.015
0,30,70,0.424327907,18.9636,17.98029557,7.286432161,3.872890985,1.725441176,0.01
55,35,10,0.580138372,68.5663,31.7961165,15.38461538,0.513566896,3.137205882,0.22
