AC,CB,G,Conductivity,Thickness,Max Current,Capacity
33.33,33.33,33.33,0.192952065,0.04575,2.955,0.38
60,20,20,0.073709503,0.052303704,2.4125,0.1
15,43,42,0.322138435,0.042826667,5.769,0.65
28,27,45,0.281012587,0.04714,7.08175,6.1
46,46,8,0.16322722,0.046010345,3.22375,0.55
38,8,54,0.198188783,0.042840741,3.563,0.61
12,55,33,0.582430397,0.04285,6.3955,8.93
13,22,65,0.431932016,0.042463333,7.279,5.1
9,68,23,0.276323551,0.041716667,6.77225,4.96
80,5,15,0.043787781,0.043233333,2.2685,0
35,50,15,0.215602961,0.042911111,5.6285,3.55
38,24,38,0.166500392,0.039357576,3.5175,0.18
6,78,16,1.100698222,0.045021739,12.9605,10.91
7,88,5,1.419666107,0.040345833,12.64,17.44
4,60,36,1.248831252,0.04502381,9.791,15.7
16,32,52,0.57219607,0.041503333,6.97325,6.35
26,46,28,0.326878777,0.045483333,3.7365,2.42
70,15,15,0.068915048,0.045056667,2.13725,0.14
60,10,30,0.10922822,0.04256,2.681,0
25,7,68,0.297051661,0.038793333,4.59125,4.72
50,32,18,0.179882801,0.045716667,2.73575,0.15
50,18,32,0.188124752,0.043336364,3.4135,
18,72,10,1.102565433,0.046636667,10.524,16.25
13,12,75,0.415359059,0.039763333,6.18125,5.54
81,15,4,0.029556862,0.044826667,1.08775,
65,30,5,0.089980877,0.044694444,1.89825,
30,60,10,0.427421271,0.041251515,3.6445,
39,39,22,0.324026385,0.043954545,3.85575,
6,7,87,0.642291553,0.042325641,6.58475,
54,5,41,0.111131597,0.0432,1.7905,
3,36,61,1.086370359,0.044384848,11.83675,
30,70,0,0.865540849,0.049483333,12.245,
100,0,0,0.024324704,0.047794872,2.718,0
0,100,0,0.938685022,0.057233333,12.39475,12.89
0,0,100,0.462406726,0.033184615,4.305,0.08
0,50,50,1.58209015,0.043196667,,
20,60,20,1.137833631,0.0575,10.23125,
22,20,58,0.535052728,0.045158333,5.64425,
0,70,30,2.231147374,0.049246667,22.34933333,17.11
0,30,70,1.257594596,0.043477778,10.576,
