AC,CB,G,Weight,Thickness,Apparent Density,Surface Area,Pour Density,Conductivity,Max Current,Capacity,Water Uptake,Electrolyte Uptake
33.33,33.33,33.33,0.0524,0.04575,1.66003398,7592.87998,2.23264338,0.192952065,80.50286834,7.050092764,599.5167409,523.6707456
60,20,20,0.065,0.052303704,1.19612,11632.93145,2.44304,0.073709503,69.04168398,1.851851852,560.3946419,480.9400191
15,43,42,0.05575,0.042826667,1.979522,3925.94972,2.092011,0.322138435,187.8299889,13.68421053,507.2304262,503.8056874
28,27,45,0.0577,0.04714,1.74821,6190.117734,2.125339,0.281012587,141.3148864,123.6068896,559.0487989,484.0358803
46,46,8,0.056666667,0.046010345,1.449908,10401.53387,2.470962,0.16322722,88.71780035,11.01101101,574.6293882,565.6108597
38,8,54,0.052733333,0.042840741,1.566704,8972.827578,2.102276,0.198188783,98.67671951,13.304253,655.4404444,556.3744196
12,55,33,0.056666667,0.04285,2.037338,3331.036406,2.144775,0.582430397,161.6168811,188,503.2371152,506.9124424
13,22,65,0.06125,0.042463333,2.00258,3302.79182,1.916154,0.431932016,152.9724833,112.5827815,545.913563,532.989895
9,68,23,0.055066667,0.041716667,2.095688,2821.706992,2.204816,0.276323551,137.3931459,114.1542002,565.0941118,499.4273582
80,5,15,0.04635,0.043233333,0.84539,18558.22783,2.564285,0.043787781,37.97699806,0,927.5821132,729.7417349
35,50,15,0.053333333,0.042911111,1.64054,8630.260098,2.37335,0.215602961,114.1122299,79.50727884,597.4171243,631.0096154
38,24,38,0.0483,0.039357576,1.575248,9920.48551,2.218708,0.166500392,69.23365757,4.627249357,637.3295464,720.5204216
6,78,16,0.0636,0.043340036,2.152436,2112.511386,2.243026,1.100698222,332.8994767,301.532607,559.0238365,432.5278605
7,88,5,0.058538462,0.045369583,2.14064,2321.188388,2.327316,1.419666107,316.7140808,410.9945167,536.3551256,465.7819894
4,60,36,0.0596,0.04502381,2.177096,1439.2767,2.089,1.248831252,241.3907551,64.13398693,458.4651421,461.0492013
16,32,52,0.049666667,0.041503333,1.956512,4191.423339,2.023484,0.57219607,173.3564999,157.960199,550.5401173,587.4807117
26,46,28,0.059133333,0.045483333,1.792628,6134.633052,2.240562,0.326878777,68.43383177,52.89617486,703.1882965,479.0835917
70,15,15,0.054,0.045056667,1.02209,15676.57135,2.521855,0.068915048,47.74236415,2.828282828,726.8399464,683.7951753
60,10,30,0.055333333,0.04256,1.19078,14207.42716,2.37027,0.10922822,55.68914178,0,742.1150278,641.1186916
25,7,68,0.04655,0.038793333,1.788938,6555.62021,1.945239,0.297051661,114.2945117,115.1219512,852.4493712,634.8404023
50,32,18,0.05045,0.045716667,1.373888,11225.68414,2.415164,0.179882801,52.06504133,2.985074627,549.2161188,533.8269044
50,18,32,0.0501,0.045988889,1.366412,11044.24682,2.313286,0.142248486,67.14079842,6.080441188,617.2213203,608.3071951
18,72,10,0.059222222,0.045378788,1.9436,4606.176361,2.337604,0.88974448,236.5783544,360.0910121,479.338843,507.5636041
13,12,75,0.05065,0.037674359,1.99724,3622.364221,1.843384,0.435523323,197.6574928,148.0380628,541.5763028,475.7430512
81,15,4,0.0403,0.042747222,0.833594,19091.04352,2.648575,0.026984995,18.30068547,0,862.1683968,758.370898
65,30,5,0.05045,0.050491667,1.11578,13113.27975,2.57341,0.070698588,46.05388556,1.936108422,572.0918321,592.073932
30,60,10,0.04645,0.046477778,1.73156,6975.864929,2.38852,0.378806446,104.8131312,101.0285714,411.6338538,474.3981525
39,39,22,0.05105,0.045979487,1.566122,8831.980627,2.339383,0.243819366,63.63661629,6.053811659,492.3852055,487.5394493
6,7,87,0.04725,0.0501,2.114522,1292.165469,1.726359,0.553907602,145.9639446,166.6277576,584.6100754,542.0054201
54,5,41,0.06235,0.049297222,1.290926,11013.05602,2.264765,0.097019189,48.9785632,9.272918862,560.3902954,522.9280311
3,36,61,0.0584,0.0504,2.181416,907.9061508,1.902832,0.732222787,158.0004057,197.3726274,432.1957256,365.516333
30,70,0,0.06415,0.054433333,1.7369,6025.719535,2.46129,0.632911924,84.09104613,277.4193548,376.3196249,407.9082646
100,0,0,0.087066667,0.055953333,0.5,17872.03622,2.7583,0.018843742,18.12231013,0,570.2335786,531.1478502
0,100,0,0.068666667,0.046225,2.267,865.3326122,2.334,1.150285708,468.4311927,299.1597332,460.201795,414.0786749
0,0,100,0.06315,0.033163636,2.2136,67.15186404,1.6063,0.424388502,149.8567935,92.20969089,525.1623594,519.0672587
0,50,50,0.047833333,0.036947222,2.2403,571.4502669,1.97015,0.990469739,142.3091723,137.5991562,471.0144928,461.3498516
20,60,20,0.0467,0.042175,1.90292,5321.764078,2.27332,0.716875287,128.2047078,184.4910389,482.5109146,482.3563526
22,20,58,0.05045,0.040705128,1.847288,5632.991962,2.00528,0.379107025,81.16812554,55.222726,443.45898,563.1696862
0,70,30,0.0706,0.05307,2.25098,540.1940833,2.11569,1.689218093,238.4198396,356.2378793,326.1012857,331.0431659
0,30,70,0.0684,0.050863333,2.22962,266.575136,1.82461,1.049428723,200.6607995,275.5867783,368.5929996,379.4355238
