AC,CB,G,Weight,Apparent Density,Surface Area,Pour Density,Water Uptake,Electrolyte Uptake,Conductivity,Max Current,Capacity
33.33,33.33,33.33,0.0524,1.66003398,7592.87998,0.519219391,599.5167409,523.6707456,0.192952065,80.50286834,7.050092764
60,20,20,0.065,1.19612,11632.93145,0.568148837,560.3946419,480.9400191,0.073709503,69.04168398,1.851851852
15,43,42,0.05575,1.979522,3925.94972,0.486514186,507.2304262,503.8056874,0.322138435,187.8299889,13.68421053
28,27,45,0.0577,1.74821,6190.117734,0.494264884,559.0487989,484.0358803,0.281012587,141.3148864,123.6068896
46,46,8,0.056666667,1.449908,10401.53387,0.574642326,574.6293882,565.6108597,0.16322722,88.71780035,11.01101101
38,8,54,0.052733333,1.566704,8972.827578,0.488901395,655.4404444,556.3744196,0.198188783,98.67671951,13.304253
12,55,33,0.056666667,2.037338,3331.036406,0.498784884,503.2371152,506.9124424,0.582430397,161.6168811,188
13,22,65,0.06125,2.00258,3302.79182,0.445617209,545.913563,532.989895,0.431932016,152.9724833,112.5827815
9,68,23,0.055066667,2.095688,2821.706992,0.512747907,565.0941118,499.4273582,0.276323551,137.3931459,114.1542002
80,5,15,0.04635,0.84539,18558.22783,0.596345349,927.5821132,729.7417349,0.043787781,37.97699806,0
35,50,15,0.053333333,1.64054,8630.260098,0.55194186,597.4171243,631.0096154,0.215602961,114.1122299,79.50727884
38,24,38,0.0483,1.575248,9920.48551,0.515978605,637.3295464,720.5204216,0.166500392,69.23365757,4.627249357
6,78,16,0.0636,2.152436,2112.511386,0.521633953,559.0238365,432.5278605,1.100698222,332.8994767,301.532607
7,88,5,0.058538462,2.14064,2321.188388,0.541236279,536.3551256,465.7819894,1.419666107,316.7140808,410.9945167
4,60,36,0.0596,2.177096,1439.2767,0.485813953,458.4651421,461.0492013,1.248831252,241.3907551,64.13398693
16,32,52,0.049666667,1.956512,4191.423339,0.470577674,550.5401173,587.4807117,0.57219607,173.3564999,157.960199
26,46,28,0.059133333,1.792628,6134.633052,0.52106093,703.1882965,479.0835917,0.326878777,68.43383177,52.89617486
70,15,15,0.054,1.02209,15676.57135,0.586477907,726.8399464,683.7951753,0.068915048,47.74236415,2.828282828
60,10,30,0.055333333,1.19078,14207.42716,0.551225581,742.1150278,641.1186916,0.10922822,55.68914178,0
25,7,68,0.04655,1.788938,6555.62021,0.452381163,852.4493712,634.8404023,0.297051661,114.2945117,115.1219512
50,32,18,0.05045,1.373888,11225.68414,0.561666047,549.2161188,533.8269044,0.179882801,52.06504133,2.985074627
50,18,32,0.0501,1.366412,11044.24682,0.537973488,617.2213203,608.3071951,0.142248486,67.14079842,6.080441188
18,72,10,0.059222222,1.9436,4606.176361,0.543628837,479.338843,507.5636041,0.88974448,236.5783544,360.0910121
13,12,75,0.05065,1.99724,3622.364221,0.428693953,541.5763028,475.7430512,0.435523323,197.6574928,148.0380628
81,15,4,0.0403,0.833594,19091.04352,0.615947674,862.1683968,758.370898,0.026984995,18.30068547,0
65,30,5,0.05045,1.11578,13113.27975,0.598467442,572.0918321,592.073932,0.070698588,46.05388556,1.936108422
30,60,10,0.04645,1.73156,6975.864929,0.555469767,411.6338538,474.3981525,0.378806446,104.8131312,101.0285714
39,39,22,0.05105,1.566122,8831.980627,0.544042558,492.3852055,487.5394493,0.243819366,63.63661629,6.053811659
6,7,87,0.04725,2.114522,1292.165469,0.401478837,584.6100754,542.0054201,0.553907602,145.9639446,166.6277576
54,5,41,0.06235,1.290926,11013.05602,0.526689535,560.3902954,522.9280311,0.097019189,48.9785632,9.272918862
3,36,61,0.0584,2.181416,907.9061508,0.44251907,432.1957256,365.516333,0.732222787,158.0004057,197.3726274
30,70,0,0.06415,1.7369,6025.719535,0.572393023,376.3196249,407.9082646,0.632911924,84.09104613,277.4193548
100,0,0,0.087066667,0.5,17872.03622,0.641465116,570.2335786,531.1478502,0.018843742,18.12231013,0
0,100,0,0.068666667,2.267,865.3326122,0.542790698,460.201795,414.0786749,1.150285708,468.4311927,299.1597332
0,0,100,0.06315,2.2136,67.15186404,0.37355814,525.1623594,519.0672587,0.424388502,149.8567935,92.20969089
0,50,50,0.047833333,2.2403,571.4502669,0.458174419,471.0144928,461.3498516,0.990469739,142.3091723,137.5991562
20,60,20,0.0467,1.90292,5321.764078,0.52867907,482.5109146,482.3563526,0.716875287,128.2047078,184.4910389
22,20,58,0.05045,1.847288,5632.991962,0.466344186,443.45898,563.1696862,0.379107025,81.16812554,55.222726
0,70,30,0.0706,2.25098,540.1940833,0.49202093,326.1012857,331.0431659,1.689218093,238.4198396,356.2378793
0,30,70,0.0684,2.22962,266.575136,0.424327907,368.5929996,379.4355238,1.049428723,200.6607995,275.5867783
