AC,CB,G,Weight,Thickness,Apparent Density,Surface Area,Pour Density,Water Uptake,Electrolyte Uptake,Conductivity,Max Current,Capacity
33.33,33.33,33.33,0.0524,0.04575,1.66003398,347.3742591,0.519219391,27.63772176,24.14122137,0.192952065,3.5845,0.38
60,20,20,0.065,0.052303704,1.19612,608.4454,0.568148837,31.55021834,27.07692308,0.073709503,3.632,0.1
15,43,42,0.05575,0.042826667,1.979522,168.13534,0.486514186,20.9486166,20.80717489,0.322138435,7.5865,0.65
28,27,45,0.0577,0.04714,1.74821,291.80215,0.494264884,26.72253259,23.13691508,0.281012587,7.251,6.1
46,46,8,0.056666667,0.046010345,1.449908,478.57816,0.574642326,26.89265537,26.47058824,0.16322722,3.8715,0.55
38,8,54,0.052733333,0.042840741,1.566704,384.40258,0.488901395,28.44611529,24.14664981,0.198188783,4.207,0.61
12,55,33,0.056666667,0.04285,2.037338,142.73491,0.498784884,21.8404908,22,0.582430397,6.2305,8.93
13,22,65,0.06125,0.042463333,2.00258,140.24755,0.445617209,22.4916388,21.95918367,0.431932016,6.3265,5.1
9,68,23,0.055066667,0.041716667,2.095688,117.71221,0.512747907,25.82480091,23.12348668,0.276323551,5.533,4.96
80,5,15,0.04635,0.043233333,0.84539,802.33405,0.596345349,33.48571429,29.77346278,0.043787781,1.7905,0
35,50,15,0.053333333,0.042911111,1.64054,370.33405,0.55194186,26.70454545,26.25,0.215602961,4.929,3.55
38,24,38,0.0483,0.039357576,1.575248,390.44626,0.515978605,26.89530686,25.36231884,0.166500392,3.12,0.18
6,78,16,0.0636,0.043340036,2.152436,91.55632,0.521633953,22.36095346,20.54507338,1.100698222,14.542,13.315
7,88,5,0.058538462,0.045369583,2.14064,105.31135,0.541236279,21.88328912,19.84231275,1.419666107,12.7565,18.625
4,60,36,0.0596,0.04502381,2.177096,64.80172,0.485813953,23.06079665,19.68680089,1.248831252,11.244,15.7
16,32,52,0.049666667,0.041503333,1.956512,173.95804,0.470577674,22.73730684,21.20805369,0.57219607,8.106,6.35
26,46,28,0.059133333,0.045483333,1.792628,279.02356,0.52106093,31.15124153,22.66065389,0.326878777,3.155,2.42
70,15,15,0.054,0.045056667,1.02209,706.33405,0.586477907,32.41706161,28.24074074,0.068915048,2.24,0.14
60,10,30,0.055333333,0.04256,1.19078,604.6681,0.551225581,29.09090909,26.6064257,0.10922822,2.3235,0
25,7,68,0.04655,0.038793333,1.788938,254.31436,0.452381163,27.44886975,22.66380236,0.297051661,4.1225,4.72
50,32,18,0.05045,0.045716667,1.373888,513.20086,0.561666047,24.055666,24.18235877,0.179882801,2.285,0.15
50,18,32,0.0501,0.045988889,1.366412,507.91264,0.537973488,27.65151515,25.5489022,0.142248486,3.1325,0.275
18,72,10,0.059222222,0.045378788,1.9436,209.0227,0.543628837,21.09090909,21.01313321,0.88974448,11.504,17.19
13,12,75,0.05065,0.037674359,1.99724,136.47025,0.428693953,22.3671013,19.74333662,0.435523323,7.5125,5.385
81,15,4,0.0403,0.042747222,0.833594,816.08908,0.615947674,34.48673587,31.01736973,0.026984995,0.778,0
65,30,5,0.05045,0.050491667,1.11578,662.11135,0.598467442,26.94552529,27.35381566,0.070698588,2.1945,0.1
30,60,10,0.04645,0.046477778,1.73156,324.2227,0.555469767,19.22330097,21.20559742,0.378806446,4.641,4.42
39,39,22,0.05105,0.045979487,1.566122,406.08994,0.544042558,20.97560976,21.93927522,0.243819366,3.0415,0.27
6,7,87,0.04725,0.0501,2.114522,64.73749,0.401478837,21.80595581,22.22222222,0.553907602,5.49,6.59
54,5,41,0.06235,0.049297222,1.290926,542.91307,0.526689535,26.5625,27.50601443,0.097019189,2.411,0.44
3,36,61,0.0584,0.0504,2.181416,45.75847,0.44251907,19.31914894,19.00684932,0.732222787,7.837,9.545
30,70,0,0.06415,0.054433333,1.7369,328,0.572393023,19.38046068,20.9664848,0.632911924,4.471,15.05
100,0,0,0.087066667,0.055953333,0.5,1000,0.641465116,37.3502994,32.77182236,0.018843742,1.001,0
0,100,0,0.068666667,0.046225,2.267,40,0.542790698,22.13570634,20,1.150285708,17.19975,15.56
0,0,100,0.06315,0.033163636,2.2136,2.227,0.37355814,27.67605634,21.85273159,0.424388502,5.155,3.315
0,50,50,0.047833333,0.036947222,2.2403,21.1135,0.458174419,16.95652174,16.60859466,0.990469739,4.912,5.06
20,60,20,0.0467,0.042175,1.90292,224.4454,0.52867907,18.19066148,18.52248394,0.716875287,4.927,8.605
22,20,58,0.05045,0.040705128,1.847288,229.29166,0.466344186,20,22.69573835,0.379107025,3.248,2.195
0,70,30,0.0706,0.05307,2.25098,28.6681,0.49202093,16.46811493,17.28045326,1.689218093,17.79975,20.11
0,30,70,0.0684,0.050863333,2.22962,13.5589,0.424327907,16.84470008,17.90935673,1.049428723,10.002,13.785
