AC,CB,G,MnO2,Pour Density,Surface Area,Water Uptake,Electrolyte Uptake,KOH,Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.519219391,49.06176,27.63772176,24.14122137,1,0.192952065,2.389666667,0.19
60,20,20,80,0.568148837,70.9936,31.55021834,27.07692308,1,0.073709503,2.421333333,0.05
15,43,42,80,0.486514186,34.05926,20.9486166,20.80717489,1,0.322138435,5.057666667,0.325
28,27,45,80,0.494264884,43.4688,26.72253259,23.13691508,1,0.281012587,4.834,3.05
46,46,8,80,0.574642326,62.04164,26.89265537,26.47058824,1,0.16322722,2.581,0.275
38,8,54,80,0.488901395,49.80532,28.44611529,24.14664981,1,0.198188783,2.804666667,0.305
12,55,33,80,0.498784884,33.00704,21.8404908,22,1,0.582430397,4.153666667,4.465
13,22,65,80,0.445617209,29.4509,22.4916388,21.95918367,1,0.431932016,4.217666667,2.55
9,68,23,80,0.512747907,32.08954,25.82480091,23.12348668,1,0.276323551,3.688666667,2.48
80,5,15,80,0.596345349,86.7652,33.48571429,29.77346278,1,0.043787781,1.193666667,0
35,50,15,80,0.55194186,52.7947,26.70454545,26.25,1,0.215602961,3.286,1.775
38,24,38,80,0.515978605,51.96084,26.89530686,25.36231884,1,0.166500392,2.08,0.09
6,78,16,80,0.521633953,30.76788,22.36095346,20.54507338,1,1.100698222,9.694666667,6.6575
7,88,5,80,0.541236279,33.0047,21.88328912,19.84231275,1,1.419666107,8.504333333,9.3125
4,60,36,80,0.485813953,26.56368,23.06079665,19.68680089,1,1.248831252,7.496,7.85
16,32,52,80,0.470577674,33.46696,22.73730684,21.20805369,1,0.57219607,5.404,3.175
26,46,28,80,0.52106093,44.24924,31.15124153,22.66065389,1,0.326878777,2.103333333,1.21
70,15,15,80,0.586477907,79.2162,32.41706161,28.24074074,1,0.068915048,1.493333333,0.07
60,10,30,80,0.551225581,69.6464,29.09090909,26.6064257,1,0.10922822,1.549,0
25,7,68,80,0.452381163,38.10554,27.44886975,22.66380236,1,0.297051661,2.748333333,2.36
50,32,18,80,0.561666047,63.71404,24.055666,24.18235877,1,0.179882801,1.523333333,0.075
50,18,32,80,0.537973488,61.82796,27.65151515,25.5489022,1,0.142248486,2.088333333,0.1375
18,72,10,80,0.543628837,40.635,21.09090909,21.01313321,1,0.88974448,7.669333333,8.595
13,12,75,80,0.428693953,28.1037,22.3671013,19.74333662,1,0.435523323,5.008333333,2.6925
81,15,4,80,0.615947674,89.00202,34.48673587,31.01736973,1,0.026984995,0.518666667,0
65,30,5,80,0.598467442,76.7889,26.94552529,27.35381566,1,0.070698588,1.463,0.05
30,60,10,80,0.555469767,49.6938,19.22330097,21.20559742,1,0.378806446,3.094,2.21
39,39,22,80,0.544042558,54.87126,20.97560976,21.93927522,1,0.243819366,2.027666667,0.135
6,7,87,80,0.401478837,21.20276,21.80595581,22.22222222,1,0.553907602,3.66,3.295
54,5,41,80,0.526689535,63.63508,26.5625,27.50601443,1,0.097019189,1.607333333,0.22
3,36,61,80,0.44251907,22.44078,19.31914894,19.00684932,1,0.732222787,5.224666667,4.7725
30,70,0,80,0.572393023,51.041,19.38046068,20.9664848,1,0.632911924,2.980666667,7.525
100,0,0,80,0.641465116,103.884,37.3502994,32.77182236,1,0.018843742,0.667333333,0
0,100,0,80,0.542790698,28.394,22.13570634,20,1,1.150285708,11.4665,7.1125
0,0,100,80,0.37355814,14.922,27.67605634,21.85273159,1,0.424388502,3.436666667,1.6575
0,50,50,80,0.458174419,21.658,16.95652174,16.60859466,1,0.990469739,3.274666667,2.53
20,60,20,80,0.52867907,40.7976,18.19066148,18.52248394,1,0.716875287,3.284666667,4.3025
22,20,58,80,0.466344186,37.18804,20,22.69573835,1,0.379107025,2.165333333,1.0975
0,70,30,80,0.49202093,24.3524,16.46811493,17.28045326,1,1.689218093,11.8665,10.055
0,30,70,80,0.424327907,18.9636,16.84470008,17.90935673,1,1.049428723,6.668,6.8925
33.33,33.33,33.33,80,0.519219391,49.06176,27.63772176,21.61422709,6,0.192952065,4.539529412,1.88
60,20,20,80,0.568148837,70.9936,31.55021834,23.87596899,6,0.073709503,3.659411765,5.27
15,43,42,80,0.486514186,34.05926,20.9486166,16.87413555,6,0.322138435,10.80970588,3.4525
28,27,45,80,0.494264884,43.4688,26.72253259,17.88413098,6,0.281012587,6.827794118,5.07
46,46,8,80,0.574642326,62.04164,26.89265537,18.77470356,6,0.16322722,6.439411765,6.235
12,55,33,80,0.498784884,33.00704,21.8404908,15.72254335,6,0.582430397,12.39470588,5.115
13,22,65,80,0.445617209,29.4509,22.4916388,16.96113074,6,0.431932016,8.385,3.675
9,68,23,80,0.512747907,32.08954,25.82480091,14.03508772,6,0.276323551,10.24367647,6.55
80,5,15,80,0.596345349,86.7652,33.48571429,22.81976744,6,0.043787781,1.560294118,0.035
35,50,15,80,0.55194186,52.7947,26.70454545,17.41935484,6,0.215602961,8.028970588,5.84
38,24,38,80,0.515978605,51.96084,26.89530686,17.39130435,6,0.166500392,4.641029412,3.755
6,78,16,80,0.521633953,30.76788,22.36095346,14.44444444,6,1.100698222,15.97867647,5.41
7,88,5,80,0.541236279,33.0047,21.88328912,11.95286195,6,1.419666107,16.17470588,6.145
16,32,52,80,0.470577674,33.46696,22.73730684,14.28571429,6,0.57219607,10.24602941,5.755
26,46,28,80,0.52106093,44.24924,31.15124153,16.2109375,6,0.326878777,8.318382353,6.205
70,15,15,80,0.586477907,79.2162,32.41706161,21.82835821,6,0.068915048,2.186323529,5.37
60,10,30,80,0.551225581,69.6464,29.09090909,21.22370937,6,0.10922822,3.265735294,4.13
25,7,68,80,0.452381163,38.10554,27.44886975,17.76649746,6,0.297051661,5.265735294,3.42
50,32,18,80,0.561666047,63.71404,24.055666,21.70542636,6,0.179882801,5.121029412,6.335
50,18,32,80,0.537973488,61.82796,27.65151515,23.7695078,6,0.142248486,4.349264706,5.8
18,72,10,80,0.543628837,40.635,21.09090909,18.30508475,6,0.88974448,18.49279412,6.935
13,12,75,80,0.428693953,28.1037,22.3671013,18.8034188,6,0.435523323,8.788235294,3.335
81,15,4,80,0.615947674,89.00202,34.48673587,27.80082988,6,0.026984995,0.925882353,3.645
65,30,5,80,0.598467442,76.7889,26.94552529,23.66412214,6,0.070698588,3.625147059,6.43
30,60,10,80,0.555469767,49.6938,19.22330097,17.60435572,6,0.378806446,12.77544118,3.795
39,39,22,80,0.544042558,54.87126,20.97560976,19.61290323,6,0.243819366,7.312794118,4.44
6,7,87,80,0.401478837,21.20276,21.80595581,17.41233374,6,0.553907602,8.335441176,3.115
54,5,41,80,0.526689535,63.63508,26.5625,27.45376956,6,0.097019189,3.131911765,4.615
3,36,61,80,0.44251907,22.44078,19.31914894,14.50381679,6,0.732222787,11.18191176,6.595
30,70,0,80,0.572393023,51.041,19.38046068,18.70100784,6,0.632911924,15.18044118,6.47
100,0,0,80,0.641465116,103.884,37.3502994,29.08680947,6,0.018843742,0.575,0.61
0,100,0,80,0.542790698,28.394,22.13570634,21.90942472,6,1.150285708,23.94897059,6.11
0,0,100,80,0.37355814,14.922,27.67605634,16.70281996,6,0.424388502,3.861029412,1.925
0,50,50,80,0.458174419,21.658,16.95652174,12.80487805,6,0.990469739,10.01352941,2.895
20,60,20,80,0.52867907,40.7976,18.19066148,15.90457256,6,0.716875287,8.292647059,4.195
22,20,58,80,0.466344186,37.18804,20,18.33976834,6,0.379107025,7.317205882,3.65
0,70,30,80,0.49202093,24.3524,16.46811493,14.88033299,6,1.689218093,21.88117647,6.81
0,30,70,80,0.424327907,18.9636,16.84470008,15.58823529,6,1.049428723,15.01544118,3.925
33.33,33.33,33.33,0,0.519219391,49.06176,31.42857143,15.11254019,6,0.951415809,2.415735294,0.27
70,0,30,0,0.561093023,77.1954,47.76119403,30,6,0.09950023,1.109705882,0.01
40,0,60,0,0.48072093,50.5068,42.81609195,21.93877551,6,0.415381274,1.985882353,0.02
70,30,0,0,0.611862791,81.237,38.93442623,22.40802676,6,0.374146666,2.588088235,0.4
40,50,10,0,0.565337209,57.2428,32.71221532,20.24793388,6,1.139189384,6.110882353,0.38
60,20,20,0,0.568148837,70.9936,43.16939891,19.14893617,6,0.440565051,2.996470588,0.25
10,50,40,0,0.484965116,30.5542,38.00424628,18.37160752,6,3.088658087,4.943382353,0.13
20,20,60,0,0.460986047,35.4088,40.59405941,9.333333333,6,1.811520979,3.532205882,0.15
45,15,40,0,0.519501163,56.9757,40.12345679,17.43341404,6,0.238737022,1.931617647,0.055
20,55,25,0,0.520217442,40.124,22.3880597,13.84083045,6,1.043711592,2.625147059,0.13
10,35,55,0,0.459580233,28.5334,23.99049881,7.901234568,6,1.613304778,3.317205882,0.075
100,0,0,0,0.641465116,103.884,53.7037037,35.41666667,6,0.043541527,0.73,0
0,100,0,0,0.542790698,28.394,23.40909091,10.67285383,6,1.128502904,2.292941176,0.02
0,0,100,0,0.37355814,14.922,24.00990099,14.70588235,6,0.741020452,0.980588235,0.005
10,85,5,0,0.544196512,35.2694,25.26315789,10.07194245,6,1.64703924,4.0825,0.135
15,70,15,0,0.532206977,37.6967,20.34313725,9.756097561,6,1.661495441,4.118382353,0.15
0,70,30,0,0.49202093,24.3524,11.8902439,7.692307692,6,2.83625654,2.03,0.015
0,30,70,0,0.424327907,18.9636,17.98029557,7.286432161,6,3.872890985,1.725441176,0.01
55,35,10,0,0.580138372,68.5663,31.7961165,15.38461538,6,0.513566896,3.137205882,0.22
